action,subject,trial,action_name,sensor_placement,has_rgb,has_inertial,rgb_frames,rgb_fps,rgb_width,rgb_height,rgb_duration,inertial_length,inertial_channels,inertial_duration
1,1,1,Swipe Left,wrist,True,True,42,15.0,640,480,2.8,160,6,3.2
1,1,2,Swipe Left,wrist,True,True,38,15.0,640,480,2.533333333333333,154,6,3.08
1,1,3,Swipe Left,wrist,True,True,45,15.0,640,480,3.0,165,6,3.3
1,1,4,Swipe Left,wrist,True,True,44,15.0,640,480,2.933333333333333,158,6,3.16
1,2,1,Swipe Left,wrist,True,True,42,15.0,640,480,2.8,142,6,2.84
1,2,2,Swipe Left,wrist,True,True,49,15.0,640,480,3.2666666666666666,156,6,3.12
1,2,3,Swipe Left,wrist,True,True,44,15.0,640,480,2.933333333333333,143,6,2.86
1,2,4,Swipe Left,wrist,True,True,44,15.0,640,480,2.933333333333333,157,6,3.14
1,3,1,Swipe Left,wrist,True,True,44,15.0,640,480,2.933333333333333,146,6,2.92
1,3,2,Swipe Left,wrist,True,True,39,15.0,640,480,2.6,127,6,2.54
1,3,3,Swipe Left,wrist,True,True,38,15.0,640,480,2.533333333333333,125,6,2.5
1,3,4,Swipe Left,wrist,True,True,43,15.0,640,480,2.8666666666666667,150,6,3.0
1,4,1,Swipe Left,wrist,True,True,42,15.0,640,480,2.8,145,6,2.9
1,4,2,Swipe Left,wrist,True,True,42,15.0,640,480,2.8,143,6,2.86
1,4,3,Swipe Left,wrist,True,True,42,15.0,640,480,2.8,142,6,2.84
1,4,4,Swipe Left,wrist,True,True,45,15.0,640,480,3.0,160,6,3.2
1,5,1,Swipe Left,wrist,True,True,55,15.0,640,480,3.6666666666666665,186,6,3.72
1,5,2,Swipe Left,wrist,True,True,45,15.0,640,480,3.0,170,6,3.4
1,5,3,Swipe Left,wrist,True,True,54,15.0,640,480,3.6,190,6,3.8
1,5,4,Swipe Left,wrist,True,True,51,15.0,640,480,3.4,180,6,3.6
1,6,1,Swipe Left,wrist,True,True,54,15.0,640,480,3.6,187,6,3.74
1,6,2,Swipe Left,wrist,True,True,50,15.0,640,480,3.3333333333333335,180,6,3.6
1,6,3,Swipe Left,wrist,True,True,50,15.0,640,480,3.3333333333333335,183,6,3.66
1,6,4,Swipe Left,wrist,True,True,53,15.0,640,480,3.533333333333333,189,6,3.78
1,7,1,Swipe Left,wrist,True,True,47,15.0,640,480,3.1333333333333333,149,6,2.98
1,7,2,Swipe Left,wrist,True,True,50,15.0,640,480,3.3333333333333335,163,6,3.26
1,7,3,Swipe Left,wrist,True,True,43,15.0,640,480,2.8666666666666667,143,6,2.86
1,7,4,Swipe Left,wrist,True,True,44,15.0,640,480,2.933333333333333,141,6,2.82
1,8,1,Swipe Left,wrist,True,True,60,15.0,640,480,4.0,197,6,3.94
1,8,2,Swipe Left,wrist,True,True,51,15.0,640,480,3.4,169,6,3.38
1,8,3,Swipe Left,wrist,True,True,55,15.0,640,480,3.6666666666666665,181,6,3.62
1,8,4,Swipe Left,wrist,True,True,48,15.0,640,480,3.2,169,6,3.38
4,1,1,Clap,wrist,True,True,42,15.0,640,480,2.8,152,6,3.04
